current_plan,total_movies,avg_change,avg_shipping_delay,lowest_10pct_movies_in_plan,no_reported_scratched,no_reported_missing,moved_last_10_months,avg_movie_rating,age_60_plus,hddvd_request,referral,churn,validation
4,32,-4,1,0,2,0,0,4.109999999999999,0,0,1,1,0
2,21,-3,1,0,0,0,0,4.390000000000001,0,0,0,1,0
4,44,-4,0,0,0,1,0,3.91,0,0,0,1,0
3,40,-2,1,1,1,0,0,4.16,0,0,0,1,0
3,27,-4,0,0,1,1,0,3.73,0,0,0,1,0
1,31,2,1,1,0,0,0,3.94,0,0,0,1,0
4,26,-4,1,0,0,0,0,4.3,0,0,0,1,0
3,40,-1,1,0,1,2,0,4.0,0,0,0,1,0
2,37,-5,0,0,1,1,0,4.05,1,0,1,1,0
3,38,-2,1,0,0,2,0,4.1,0,0,0,1,0
2,49,-5,2,1,1,1,0,3.7199999999999998,0,0,0,1,0
3,33,0,1,0,1,0,0,3.99,0,0,0,1,0
4,34,-5,1,0,1,0,1,3.9699999999999998,0,0,1,1,0
7,43,-4,1,0,0,0,1,4.02,0,0,0,1,0
5,32,-3,1,0,2,0,0,3.8,0,0,0,1,0
2,36,-6,0,0,0,0,0,4.04,0,0,1,1,0
4,29,-6,1,0,0,0,0,4.2,0,0,0,1,0
3,40,-4,1,0,1,0,1,4.43,1,0,1,1,0
7,34,-3,0,0,0,0,1,3.83,0,0,1,1,0
3,23,-3,0,0,0,0,0,3.9699999999999998,0,0,0,1,0
1,31,-3,1,0,2,0,0,4.05,0,0,0,1,0
4,35,0,0,1,2,0,0,4.3,0,0,1,1,0
3,33,2,1,0,0,0,0,4.17,0,1,0,1,0
2,34,0,0,0,1,1,1,3.98,0,0,0,1,0
1,28,-2,1,0,1,0,0,3.8600000000000003,1,0,0,1,0
3,26,-4,0,0,0,1,0,4.3100000000000005,0,1,0,1,0
3,33,0,1,1,0,0,0,4.04,0,0,1,1,0
2,35,0,1,0,3,0,0,3.6799999999999997,0,0,0,1,0
4,39,0,1,0,0,0,0,4.08,0,0,0,1,0
2,35,-1,1,0,2,0,0,3.99,0,0,1,1,0
4,42,1,0,0,0,0,0,4.109999999999999,0,0,1,1,0
4,42,-5,0,0,1,0,0,4.08,0,0,0,1,0
2,33,0,0,0,1,0,0,3.84,0,1,1,1,0
3,44,3,1,0,0,0,0,4.0600000000000005,0,0,0,1,0
3,37,-2,0,0,1,0,0,4.0,0,0,0,1,0
4,26,-4,1,0,1,0,0,4.15,0,1,0,1,0
4,44,-5,1,0,0,0,0,3.83,0,0,0,1,0
5,43,-3,0,0,0,1,0,4.029999999999999,0,0,0,1,0
3,32,-2,2,1,1,2,0,4.220000000000001,0,0,0,1,0
2,45,-2,0,0,1,1,0,4.1,0,0,0,1,0
4,34,-2,0,0,0,0,0,4.26,0,0,0,1,0
3,30,0,0,0,0,0,0,3.99,0,0,0,1,0
4,41,-3,1,0,1,0,0,4.0,0,0,0,1,0
3,30,-4,1,1,0,0,0,4.04,1,0,0,1,0
3,38,-5,0,0,3,0,0,4.17,0,0,0,1,0
1,32,-4,0,0,1,0,0,4.0,1,0,0,1,0
4,33,-2,1,0,1,0,0,4.13,0,0,0,1,0
8,35,-1,1,0,2,0,0,4.15,0,0,1,1,0
3,33,-4,0,1,0,1,0,4.18,0,0,0,1,0
1,27,0,0,1,0,1,0,4.0600000000000005,0,1,0,1,0
2,30,-5,0,0,0,0,0,3.92,1,0,0,1,0
2,29,-3,0,0,3,2,0,4.17,1,0,0,1,0
4,32,-4,2,0,0,0,1,3.99,0,0,0,1,0
5,22,0,0,1,1,0,0,3.8899999999999997,0,0,1,1,0
6,25,-1,0,0,0,1,0,3.99,0,0,1,1,0
3,28,-3,2,0,0,0,0,3.96,1,0,0,1,0
5,34,-3,0,1,0,1,0,4.140000000000001,0,0,0,1,0
2,34,-2,0,0,2,0,0,4.029999999999999,0,0,0,1,0
6,45,-2,0,0,1,0,0,4.12,0,0,0,1,0
2,40,-3,1,0,0,0,0,4.2,0,0,0,1,0
2,41,-1,1,1,3,0,0,4.02,0,0,1,1,0
5,33,-3,1,0,1,0,0,4.1,0,1,1,1,0
4,31,-2,0,1,3,1,0,4.04,0,1,0,1,0
3,27,-3,1,0,0,0,0,4.09,0,0,0,1,0
3,36,-4,0,0,0,0,0,4.15,1,0,0,1,0
3,38,-2,0,0,1,0,1,3.83,0,0,0,1,0
2,31,-3,0,0,2,0,0,4.29,0,0,1,1,0
2,28,-4,1,0,0,1,0,3.99,0,0,0,1,0
2,28,3,2,0,1,0,1,4.07,0,0,0,1,0
3,31,-5,0,0,0,0,0,4.1899999999999995,1,0,0,1,0
6,40,-1,0,0,4,0,0,4.02,0,0,0,1,0
1,37,-3,1,0,1,0,0,4.140000000000001,0,0,1,1,0
3,25,-1,0,0,1,0,0,4.23,1,0,0,1,0
5,31,-4,1,1,0,0,1,4.07,0,0,1,1,0
2,32,-2,1,0,0,1,0,4.029999999999999,0,0,0,1,0
5,35,-5,0,0,0,0,0,4.1899999999999995,0,0,0,1,0
